,Stock,weekly_avg,weekly_max,weekly_min,ticker
0,['TSLA'],706.0328571428572,737.12,673.42,TSLA
1,['AAPL'],138.6185714285714,141.66,135.35,AAPL
2,['AMZN'],110.51428571428573,116.46,106.21,AMZN
3,['MSFT'],259.7357142857143,267.7,253.13,MSFT
4,['META'],162.8742857142857,170.16,155.85,META
5,['GOOGL'],2257.7428571428572,2359.5,2179.26,GOOGL
6,['NVDA'],161.8042857142857,171.26,151.59,NVDA
7,['NIO'],22.652857142857147,24.08,21.72,NIO
8,['AMD'],82.0942857142857,87.08,76.47,AMD
9,['GOOG'],2268.7985714285714,2370.76,2187.45,GOOG
10,['MA'],321.2285714285714,330.5,315.48,MA
11,['BABA'],114.29714285714286,118.73,105.15,BABA
12,['PFE'],50.95142857142857,52.43,49.07,PFE
13,['KO'],62.41428571428571,63.04,61.15,KO
14,['SHOP'],267.9085714285714,385.23,31.24,SHOP
15,['MA'],321.2285714285714,330.5,315.48,MA
16,['PEP'],165.1442857142857,166.73,162.03,PEP
17,['TM'],157.03142857142856,159.14,154.17,TM
18,['AZ'],2.9813857142857145,3.11,2.89,AZ
19,['ORCL'],68.99,70.7,66.53,ORCL
